round,acc,t_round_s,n_malicious
0,0.404,17.7709333000239,0
1,0.6754,17.381310299999313,0
2,0.7336,17.387315200001467,0
3,0.7473,17.4638681000215,0
4,0.7658,17.23749610001687,0
5,0.7756,17.27251029998297,0
6,0.7849,17.269549499993445,0
7,0.7933,17.34916699997848,0
8,0.8034,17.193950099986978,0
9,0.8024,17.297272600000724,0
10,0.8158,17.3283400000073,0
11,0.8203,17.26552969997283,0
12,0.8228,17.292689400026575,0
13,0.8252,17.27869889998692,0
14,0.8328,17.263592300005257,0
15,0.8356,17.26948099999572,0
16,0.8378,17.288813699997263,0
17,0.8393,17.368707399989944,0
18,0.8434,17.200225700013107,0
19,0.848,17.192801099998178,0
20,0.8528,17.293789199989988,0
21,0.8519,17.334666799986735,0
22,0.8521,17.276241799991112,0
23,0.8555,17.384217300015735,0
24,0.8584,17.25903180000023,0
25,0.8603,17.208809200004907,0
26,0.8598,17.312031199980993,0
27,0.8647,17.240260899998248,0
28,0.8645,17.297160599991912,0
29,0.8665,17.217760900006397,0
