round,acc,t_round_s,n_malicious
0,0.4162,17.749127899995074,3
1,0.6386,17.361470000003465,3
2,0.7246,17.401127199991606,3
3,0.7409,17.405548100010492,3
4,0.7517,17.36771160000353,3
5,0.7652,17.37945330000366,3
6,0.7552,17.425355699990178,3
7,0.7851,17.379932200012263,3
8,0.7953,17.321868899976835,3
9,0.7905,17.295158499997342,3
10,0.8073,17.51073490001727,3
11,0.811,17.41022900000098,3
12,0.8181,17.414840499986894,3
13,0.8191,17.340715800004546,3
14,0.8221,17.38468729998567,3
15,0.8318,17.439308000000892,3
16,0.8286,17.571219200006453,3
17,0.8312,17.303422500001034,3
18,0.8404,17.33362859999761,3
19,0.8403,17.369839399994817,3
20,0.8495,17.493362799985334,3
21,0.8432,17.42853620002279,3
22,0.8474,17.444967599993106,3
23,0.8496,17.539038599992637,3
24,0.8543,17.458837199985282,3
25,0.8518,17.410926099983044,3
26,0.8531,17.407879600010347,3
27,0.8577,17.46120669998345,3
28,0.8585,17.41069860002608,3
29,0.8613,17.43005210001138,3
