round,acc,t_round_s,n_malicious
0,0.3097,26.512277100002393,3
1,0.4374,26.013993100001244,3
2,0.4968,26.181824999977835,3
3,0.5423,26.154412800009595,3
4,0.6255,26.297323600010714,3
5,0.5861,26.282154500018805,3
6,0.5947,26.259221100015566,3
7,0.5842,26.12436260000686,3
8,0.6946,26.22268360000453,3
9,0.7215,26.299209100019652,3
10,0.702,26.245473599992692,3
11,0.6974,26.292904600006295,3
12,0.6751,26.030563200009055,3
13,0.6455,26.100780799984932,3
14,0.5946,26.935037499992177,3
15,0.6027,26.436254399974132,3
16,0.5584,26.354389000014635,3
17,0.6889,26.192964899993967,3
18,0.6593,25.967515399999684,3
19,0.6121,26.440071699995315,3
20,0.5811,25.918947500002105,3
21,0.575,26.42881660000421,3
22,0.6451,26.32102470000973,3
23,0.7225,26.294186899991473,3
24,0.7485,26.247029099991778,3
25,0.7578,26.648898000014015,3
26,0.7808,26.546055799990427,3
27,0.7757,26.24339499999769,3
28,0.7798,26.112574400001904,3
29,0.7836,26.329639400006272,3
