round,acc,t_round_s,n_malicious
0,0.2843,25.684701100020902,6
1,0.304,25.24700569998822,6
2,0.2837,25.040979700017488,6
3,0.2263,25.141929900011746,6
4,0.102,25.347405200009234,6
5,0.1964,25.53884079999989,6
6,0.1,25.469637000001967,6
7,0.1,25.418542999977944,6
8,0.1,26.031123799999477,6
9,0.1,25.497785099985776,6
10,0.1,25.228247499995632,6
11,0.1,25.85253730000113,6
12,0.1,26.598436200001743,6
13,0.1,25.90663399998448,6
14,0.1,25.79724129999522,6
15,0.1,25.78884559997823,6
16,0.1,25.424905499996385,6
17,0.1,25.87486669997452,6
18,0.1,25.71583610001835,6
19,0.1,25.444702100008726,6
20,0.1,25.610564200003864,6
21,0.1,25.56577010001638,6
22,0.1,25.56038740000804,6
23,0.1,25.70339179999428,6
24,0.1,25.1746708000137,6
25,0.1,25.49671639999724,6
26,0.1,25.487801399984164,6
27,0.1,25.918872500013094,6
28,0.1,25.393686499999603,6
29,0.1,25.436058899998898,6
