round,acc,t_round_s,n_malicious
0,0.21602410205714823,1.7724734069997794,6
1,0.34825589605987856,1.8873452590000852,6
2,0.3647789860189239,1.7606274949998806,6
3,0.37099279762745374,1.8100619309998365,6
4,0.5012945440851104,1.7076211110002077,6
5,0.5297274396271713,1.7136328510000567,6
6,0.5558536929812173,1.788111046999802,6
7,0.5719531139669538,1.8497071920000963,6
8,0.5875817916490138,1.712764538999636,6
9,0.5907357717836463,1.7433057020002707,6
10,0.5945487925434261,1.7318031220002013,6
11,0.6022219083933531,1.7129912289997264,6
12,0.6069764157604858,1.8199009139998452,6
13,0.6123899637527657,1.7460174380003082,6
14,0.6179447347361484,1.7372546169999623,6
15,0.6245822153179871,1.7528167899999971,6
16,0.6206750458974721,1.7542242239996995,6
17,0.6199218566115897,1.8504381319999084,6
18,0.6196394106293838,1.77452611300032,6
19,0.6240173233535753,1.791188413999862,6
20,0.614367085628207,1.7843079980002585,6
21,0.6216636068351927,1.7422155419999399,6
22,0.617191545450266,1.737150505000045,6
23,0.626606411523796,1.7665662640001756,6
24,0.6313138445605612,1.8642854490003629,6
