round,acc,t_round_s,n_malicious
0,0.32038789248222943,1.7889903489999597,6
1,0.3722167302170127,1.7395222119998834,6
2,0.373252365485101,1.7493210429997816,6
3,0.38440898178223415,1.7535218860002715,6
4,0.41237113402061853,1.7596093150000343,6
5,0.5367415148519512,1.8994875559997126,6
6,0.5454502659699666,1.714581377000286,6
7,0.5599491597232029,1.768056212999909,6
8,0.5899355081673964,1.7490987650003262,6
9,0.6015157934378383,1.7553665159998673,6
10,0.6068351927693828,1.7439549680002528,6
11,0.6106011391987949,1.9156946970001627,6
12,0.6113543284846773,1.7514542939998137,6
13,0.6138492679941627,1.7631975090002925,6
14,0.6218519041566634,1.7561410349999278,6
15,0.6215694581744575,1.8480059420003272,6
16,0.6244409923268841,1.773086838999916,6
17,0.6259473708986489,1.746970519000115,6
18,0.6274066751400461,1.7513291690002006,6
19,0.6321141081768112,1.7558824200000345,6
20,0.6331968177752672,1.8361225149997153,6
21,0.6364920209010027,1.8858058450000499,6
22,0.6315021418820317,1.802104080999925,6
23,0.634844419338135,1.7132988670000486,6
24,0.6371039871957821,1.7432791749997705,6
