round,acc,t_round_s,n_malicious
0,0.22303817728192815,1.7758297619998302,9
1,0.28108082662524125,1.742054965999614,9
2,0.36736807418914463,1.9151063190001878,9
3,0.39354140187355835,1.7480393680002635,9
4,0.4916913806901097,1.7647077330002503,9
5,0.5205479452054794,1.8790515760001654,9
6,0.56842253918938,1.7507849399999031,9
7,0.5710116273596008,1.7602993610003068,9
8,0.5742597561549687,1.7723224690003008,9
9,0.581367980040484,1.7531709999998384,9
10,0.586216636068352,1.7574526150001475,9
11,0.5903121028103375,1.7936682239997026,9
12,0.5911594407569553,1.7725710109998545,9
13,0.5933248599538672,1.8653631040001528,9
14,0.5944546438826908,1.7744813919998705,9
15,0.5945958668737937,1.7766447789999802,9
16,0.5912065150873229,1.7998477660003118,9
17,0.5959139481240879,1.7680482759997176,9
18,0.5926187449983524,1.807833768999899,9
19,0.5950195358471025,1.9409289919999537,9
20,0.5943604952219554,1.7330954660001225,9
21,0.5933719342842348,1.747179189000235,9
22,0.5960080967848232,1.8237055579998014,9
23,0.599538671562397,1.8138135469998815,9
24,0.6020806854022501,1.8466926940000121,9
