round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon
0,0.234241867909429,1.775968421000016,6,0,0,5,1,1,0.167,0.083
1,0.3089488302028904,1.7504118510000808,6,0,0,6,2,2,0.25,0.125
2,0.3745704467353952,1.7680442569999286,6,0,0,5,1,1,0.222,0.111
3,0.39476533446311723,1.77554374500005,6,0,0,6,1,1,0.208,0.104
4,0.4426870027773855,1.8033727819997694,6,0,0,5,2,1,0.2,0.125
5,0.5847573318269548,1.9086173639998378,6,0,0,4,1,1,0.25,0.104
6,0.5381066704326131,1.746972697000274,6,0,0,4,2,2,0.31,0.101
7,0.5952549074989408,1.7577433960000235,6,0,0,5,1,1,0.292,0.099
8,0.5999152662053382,1.7417446509998626,6,0,0,5,1,1,0.278,0.097
9,0.6051875912065151,1.7809124240002348,6,0,0,5,0,0,0.25,0.088
10,0.6126253354046038,1.832237489000363,6,0,0,5,4,4,0.303,0.106
11,0.6029280233488679,1.8736628269998619,6,0,0,5,2,2,0.319,0.108
12,0.6138492679941627,1.7548523499999646,6,0,0,5,3,3,0.346,0.115
13,0.6103657675469566,1.7570672750002814,6,0,0,5,2,1,0.333,0.122
14,0.6249588099609283,1.7823862489999556,6,0,0,5,1,1,0.333,0.117
15,0.6281598644259285,1.9226251479999519,6,0,0,4,2,2,0.354,0.115
16,0.6022219083933531,1.7425422410001374,6,0,0,5,5,3,0.373,0.135
17,0.6130019300475451,1.8086499360001653,6,0,0,6,3,2,0.37,0.144
18,0.6294779456762227,1.7791224080001484,6,0,0,4,2,2,0.386,0.14
19,0.6305606552746787,1.7713992499998312,6,0,0,6,1,0,0.367,0.14
20,0.6220872758085016,1.7926788770000712,6,0,0,4,4,3,0.389,0.147
21,0.6069293414301181,1.786283076000018,6,0,0,3,3,3,0.417,0.146
22,0.6356446829543849,1.9447142690000874,6,0,0,4,2,2,0.428,0.143
23,0.6001035635268088,1.7724377610002193,6,0,0,5,4,4,0.444,0.149
24,0.6089064633055595,1.759858864999842,6,0,0,4,5,4,0.467,0.158
