round,acc,t_round_s,n_malicious
0,0.293508449842301,1.727712148000137,6
1,0.335263380878407,1.7753202600001714,6
2,0.37584145365532173,1.7187219209999967,6
3,0.3858682860236313,1.8015306470001633,6
4,0.4110059784399567,1.7482824779999646,6
5,0.5099091465423904,1.793884887999866,6
6,0.5527467871769524,1.7415624440000101,6
7,0.5564656592759968,1.833227966999857,6
8,0.586075413077249,1.7502732539996941,6
9,0.5970437320529115,1.7357265460000235,6
10,0.6009038271430589,1.7189303889999792,6
11,0.6036341383043826,1.7260553500000242,6
12,0.6092830579485007,1.7564239220000673,6
13,0.6135197476815892,1.804675739999766,6
14,0.6155439438873982,1.7807890490003047,6
15,0.6213340865226192,1.7358020789997681,6
16,0.6234053570587959,1.7601713829999426,6
17,0.6244880666572518,1.721883150999929,6
18,0.624864661300193,1.7827784169999177,6
19,0.6233112083980605,1.728718249999929,6
20,0.6273596008096785,1.8606954269998823,6
21,0.6259473708986489,1.7663287800000944,6
22,0.6251941816127665,1.7222509010002796,6
23,0.629713317328061,1.7706324279997716,6
24,0.6274537494704138,1.7591255039997122,6
