round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon
0,0.3281080826625241,1.7700376709999546,6,0,0,5,5,5,1.0,0.375
1,0.37489996704796874,1.7551163950001865,6,0,0,6,6,6,1.0,0.438
2,0.42950619027444337,1.9310349950001182,6,0,0,5,5,5,1.0,0.417
3,0.45511462599444524,1.751710801000172,6,0,0,6,6,6,1.0,0.438
4,0.5722826342795274,1.7669742610000867,6,6,1,5,6,5,1.0,0.45
5,0.5642329237866591,1.425936960999934,6,6,1,0,1,0,1.0,0.403
6,0.6027397260273972,1.4273568599996906,6,6,1,0,0,0,1.0,0.351
7,0.6148378289318834,1.416522126000018,6,6,1,0,0,0,1.0,0.312
8,0.6169561737984277,1.4219830510000975,6,6,1,0,1,0,1.0,0.296
9,0.6052346655368828,1.4602085790002093,6,6,1,0,0,0,1.0,0.271
10,0.612201666431295,1.5531119499996748,6,6,1,0,1,0,1.0,0.261
11,0.6082003483500448,1.4251355090000288,6,6,1,0,0,0,1.0,0.243
12,0.6016099420985737,1.441393213000083,6,6,1,0,2,0,1.0,0.247
13,0.6120604434401921,1.4405310749998534,6,6,1,0,1,0,1.0,0.241
14,0.6105540648684272,1.4009366319996843,6,6,1,0,1,0,1.0,0.236
15,0.6113543284846773,1.4518767029999253,6,6,1,0,0,0,1.0,0.224
16,0.6210045662100456,1.470204300000205,6,6,1,0,0,0,1.0,0.213
17,0.6241585463446783,1.4109882820002895,6,6,1,0,2,0,1.0,0.218
18,0.624864661300193,1.5651245579997521,6,6,1,0,1,0,1.0,0.215
19,0.623781951701737,1.508056391000082,6,6,1,0,1,0,1.0,0.212
20,0.6101774702254861,1.421026496000195,6,6,1,0,1,0,1.0,0.21
21,0.6171444711198983,1.446759001999908,6,6,1,0,2,0,1.0,0.214
22,0.6396460010356353,1.446053166999718,6,6,1,0,0,0,1.0,0.207
23,0.6230287624158546,1.4617348589999892,6,6,1,0,1,0,1.0,0.205
24,0.6262298168808549,1.4107565399999658,6,6,1,0,2,0,1.0,0.208
