round,acc,t_round_s,n_malicious
0,0.11269594690015534,1.8391991399998915,6
1,0.15680459445464387,1.7356008890001249,6
2,0.1672550957962623,1.733173355999952,6
3,0.1685731770465565,1.767439837999973,6
4,0.16819658240361532,1.7755197400001634,6
5,0.16701972414442404,1.8518654969998352,6
6,0.1627830344113355,1.7608668590000889,6
7,0.15445087793626136,1.8190933860000769,6
8,0.15388598597184955,1.7350044449999587,6
9,0.15388598597184955,1.7825515700001233,6
10,0.15275620204302595,1.7256822180002018,6
11,0.15016711387280515,1.870832559000064,6
12,0.14301181565692228,1.7236495170000126,6
13,0.07583674622228499,1.7185597420002523,6
14,0.07583674622228499,1.737146937000034,6
15,0.07583674622228499,1.8051082219999444,6
16,0.07583674622228499,1.765240176000134,6
17,0.07583674622228499,1.7401619569996,6
18,0.07583674622228499,1.7422126850001405,6
19,0.07583674622228499,1.7407402300000285,6
20,0.07583674622228499,1.7345236819996899,6
21,0.13896342324530433,1.9134897389999423,6
22,0.14009320717412796,1.7381899250003698,6
23,0.07583674622228499,1.7819467559997975,6
24,0.1527091277126583,1.7348999300002106,6
