round,acc,t_round_s,n_malicious
0,0.1201,27.042129499983275,0
1,0.145,26.336625600000843,0
2,0.1405,26.134620500000892,0
3,0.1485,26.44732420000946,0
4,0.1867,26.550388500007102,0
5,0.2292,26.471435899991775,0
6,0.2486,26.786357400007546,0
7,0.2511,26.783338399982313,0
8,0.269,26.780087299994193,0
9,0.2678,26.609947799996007,0
10,0.2856,26.797265400004108,0
11,0.2838,26.982623000018066,0
12,0.3011,26.720214100001613,0
13,0.3018,26.73910590002197,0
14,0.3058,26.41700040001888,0
15,0.3118,26.385622300003888,0
16,0.3167,26.335370399989188,0
17,0.3247,26.596248899993952,0
18,0.3311,26.435450199991465,0
19,0.3384,26.570434299996123,0
20,0.3408,26.554406000010204,0
21,0.3473,26.753541100013535,0
22,0.3491,26.53893790001166,0
23,0.3569,26.576505100005306,0
24,0.3639,26.75854789998266,0
25,0.3673,26.647880200005602,0
26,0.3751,26.749626100005116,0
27,0.3796,26.468390699999873,0
28,0.3818,26.41620619999594,0
29,0.3903,26.47771500001545,0
