round,acc,t_round_s,n_malicious
0,0.1185,26.752639999991516,20
1,0.0999,26.388092899986077,20
2,0.1,26.348774100013543,20
3,0.1,26.442930200020783,20
4,0.1,26.72255390000646,20
5,0.1,26.714509999990696,20
6,0.1,26.60465930000646,20
7,0.1002,27.08867779999855,20
8,0.1001,26.438793700013775,20
9,0.1,26.28467079999973,20
10,0.1,26.504419000004418,20
11,0.1,26.361013400019147,20
12,0.1,26.45399440001347,20
13,0.1,26.494548099988606,20
14,0.1,26.383837300003506,20
15,0.1,26.40065239998512,20
16,0.1,27.188174399983836,20
17,0.1,26.44349279999733,20
18,0.1,26.397659899987048,20
19,0.1,26.26523220000672,20
20,0.1,26.4427241999947,20
21,0.1,26.308513199997833,20
22,0.1,26.4655228999909,20
23,0.1,26.56914050001069,20
24,0.1,26.497317899978952,20
25,0.1,26.483101299992995,20
26,0.1,26.44924839999294,20
27,0.1,26.428495700005442,20
28,0.1,26.39325709998957,20
29,0.1,26.441839900013292,20
