round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon
0,0.1035,29.665451700013364,20,0,0,15,0,0,0.0,0.0
1,0.1134,29.813449700013734,20,0,0,14,0,0,0.0,0.0
2,0.1055,29.248947100015357,20,0,0,15,0,0,0.0,0.0
3,0.1003,30.136324599996442,20,0,0,16,0,0,0.0,0.0
4,0.1029,30.50389500000165,20,0,0,14,4,4,0.09,0.028
5,0.1,31.972919299994828,20,0,0,15,3,3,0.117,0.044
6,0.1,29.586820500000613,20,0,0,14,7,7,0.193,0.077
7,0.1,29.996395699999994,20,0,0,12,4,4,0.237,0.081
8,0.1012,29.06611270000576,20,0,0,14,6,6,0.267,0.1
9,0.1018,28.623108900006628,20,0,0,14,8,8,0.3,0.125
10,0.1273,28.570832299999893,20,0,0,16,5,5,0.309,0.133
11,0.1104,30.154950900003314,20,0,0,15,7,7,0.333,0.146
12,0.1235,29.07250379998004,20,0,0,13,6,6,0.346,0.154
13,0.1503,31.696687600022415,20,0,0,13,8,8,0.375,0.165
14,0.1266,29.669077400001697,20,0,0,14,8,8,0.39,0.177
15,0.1438,27.580109699978493,20,0,0,14,10,10,0.412,0.194
16,0.2046,27.17594939999981,20,0,0,11,10,9,0.438,0.207
17,0.1731,28.426765199983492,20,0,0,14,6,6,0.439,0.21
18,0.199,30.72365530001116,20,0,0,12,12,11,0.463,0.226
19,0.1827,30.04787189999479,20,0,0,13,9,8,0.473,0.235
20,0.2366,29.542190499982098,20,0,0,14,12,12,0.493,0.249
21,0.2198,28.934012499987148,20,0,0,15,7,7,0.498,0.251
22,0.2268,29.267080599995097,20,0,0,13,12,10,0.513,0.263
23,0.2214,31.817985400004545,20,0,0,15,10,9,0.521,0.271
24,0.2722,29.62518849998014,20,0,0,13,10,10,0.534,0.277
25,0.2555,29.122805699997116,20,0,0,14,9,9,0.542,0.28
26,0.2852,28.88306609998108,20,0,0,12,11,9,0.554,0.287
27,0.2618,28.106606000015745,20,0,0,16,13,13,0.562,0.299
28,0.2719,27.13262489999761,20,0,0,14,10,10,0.571,0.303
29,0.2714,26.98979409999447,20,0,0,14,13,11,0.58,0.313
