round,acc,t_round_s,n_malicious,asr
0,0.1883,17.80170869998983,3,0.11633333333333333
1,0.1711,17.496557400008896,3,0.541
2,0.2492,17.403314199997112,3,0.21644444444444444
3,0.2323,17.56646939998609,3,0.07
4,0.3084,17.383158499986166,3,0.14466666666666667
5,0.3026,17.35558580001816,3,0.08244444444444445
6,0.3517,17.344446399976732,3,0.13644444444444445
7,0.3571,17.31797679999727,3,0.07511111111111111
8,0.3798,17.410047099983785,3,0.16844444444444445
9,0.3959,17.355529399996158,3,0.08533333333333333
10,0.4009,17.48730449998402,3,0.18166666666666667
11,0.4253,17.583138199988753,3,0.16133333333333333
12,0.4244,17.47583760000998,3,0.163
13,0.4462,17.435646500001894,3,0.20244444444444445
14,0.448,17.561801200004993,3,0.22133333333333333
15,0.4625,17.49798310000915,3,0.26066666666666666
16,0.4629,17.523740800010273,3,0.27411111111111114
17,0.4703,17.698120099987136,3,0.343
18,0.4686,17.507998199987924,3,0.48477777777777775
19,0.4663,18.016967699979432,3,0.41044444444444445
20,0.4732,17.639919199980795,3,0.6192222222222222
21,0.4997,17.55668650000007,3,0.6965555555555556
22,0.5002,17.6227394999878,3,0.7708888888888888
23,0.5062,17.50455499999225,3,0.7552222222222222
24,0.5167,17.620329299999867,3,0.8235555555555556
25,0.5145,17.71188770001754,3,0.8605555555555555
26,0.5148,17.799222600006033,3,0.8728888888888889
27,0.5195,17.502353699994273,3,0.8581111111111112
28,0.5334,17.880059700022684,3,0.9068888888888889
29,0.5388,17.677421700005652,3,0.9165555555555556
