round,acc,t_round_s,n_malicious,asr
0,0.1,36.24692990000767,6,1.0
1,0.1448,35.42178400000557,6,0.9886666666666667
2,0.2136,35.3017603999906,6,0.7503333333333333
3,0.2755,35.58171329999459,6,0.61
4,0.2933,34.99325780000072,6,0.7347777777777778
5,0.3216,35.175297699999646,6,0.7215555555555555
6,0.3587,35.10688910000317,6,0.8904444444444445
7,0.3769,35.29138919999241,6,0.8796666666666667
8,0.402,35.18802499999583,6,0.9411111111111111
9,0.424,35.3873556000035,6,0.9161111111111111
10,0.4358,34.92329769999196,6,0.9265555555555556
11,0.4495,35.28776140000264,6,0.9248888888888889
12,0.4576,35.50984179999796,6,0.9284444444444444
13,0.4626,35.68898859999899,6,0.9372222222222222
14,0.4732,35.13176469999598,6,0.9325555555555556
15,0.48,35.11404780000157,6,0.9376666666666666
16,0.4884,34.722990800000844,6,0.9332222222222222
17,0.4935,27.62153039999248,6,0.9401111111111111
18,0.4955,27.547202400004608,6,0.9423333333333334
19,0.5072,27.676876600002288,6,0.9377777777777778
20,0.5087,27.813618899992434,6,0.9354444444444444
21,0.5209,27.585419899987755,6,0.9432222222222222
22,0.5231,27.94391010000254,6,0.9404444444444444
23,0.526,27.951363500003936,6,0.9412222222222222
24,0.5306,27.64447869999276,6,0.9446666666666667
25,0.5367,27.620926600007806,6,0.9428888888888889
26,0.5393,27.8688656000013,6,0.9408888888888889
27,0.5425,28.184831200007466,6,0.9451111111111111
28,0.545,27.60087530000601,6,0.9426666666666667
29,0.5531,27.698099200002616,6,0.9457777777777778
