round,acc,t_round_s,n_malicious,asr
0,0.1,18.59129730000859,9,1.0
1,0.1487,18.19259439999587,9,0.8503333333333334
2,0.185,18.882544400024926,9,0.6525555555555556
3,0.251,18.294843500014395,9,0.5421111111111111
4,0.29,18.27794819997507,9,0.6844444444444444
5,0.3155,18.336222900019493,9,0.6695555555555556
6,0.3431,18.63825759998872,9,0.8588888888888889
7,0.3629,18.538424099999247,9,0.8985555555555556
8,0.3946,18.203600499982713,9,0.9668888888888889
9,0.3954,18.374168400012422,9,0.9527777777777777
10,0.4241,18.009153699997114,9,0.9614444444444444
11,0.43,18.242580699996324,9,0.9664444444444444
12,0.4384,18.14044920000015,9,0.9631111111111111
13,0.45,18.42655589999049,9,0.9606666666666667
14,0.4599,18.24436060001608,9,0.967
15,0.4651,18.228751300019212,9,0.9678888888888889
16,0.4754,18.29391969999415,9,0.966
17,0.4818,18.451781300012954,9,0.9642222222222222
18,0.4876,2784.059942199994,9,0.9681111111111111
19,0.4959,15.744554700009758,9,0.9642222222222222
20,0.4946,16.73242719998234,9,0.967
21,0.5072,16.64528299999074,9,0.9648888888888889
22,0.509,15.760299599991413,9,0.9665555555555555
23,0.5176,15.966489300015382,9,0.963
24,0.5227,16.469133599981433,9,0.9673333333333334
25,0.527,16.331097799993586,9,0.9667777777777777
26,0.5253,16.2901550999959,9,0.9686666666666667
27,0.5353,16.591018999984954,9,0.9631111111111111
28,0.5399,16.622045299998717,9,0.9697777777777777
29,0.5422,18.872048699995503,9,0.9652222222222222
