round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon,asr
0,0.1528,18.102230799995596,3,0,0,3,1,0,0.0,0.111,0.6693333333333333
1,0.2466,17.85292199999094,3,0,0,2,1,1,0.333,0.074,0.24022222222222223
2,0.2473,17.805851499986602,3,0,0,3,5,2,0.444,0.21,0.042333333333333334
3,0.2705,17.913132600020617,3,0,0,3,5,3,0.583,0.269,0.08022222222222222
4,0.2462,17.833915900002467,3,0,0,3,2,1,0.533,0.252,0.2381111111111111
5,0.287,17.97082600000431,3,0,0,3,4,1,0.5,0.278,0.01
6,0.35,17.742276600009063,3,1,0,2,5,2,0.571,0.302,0.08188888888888889
7,0.3457,17.059155800001463,3,1,0,2,5,1,0.577,0.329,0.20522222222222222
8,0.3551,17.02630479997606,3,1,0,2,3,2,0.619,0.321,0.008777777777777778
9,0.3893,17.241736600000877,3,1,0,2,2,0,0.586,0.311,0.1981111111111111
10,0.4433,16.9905997000169,3,1,0,2,3,0,0.558,0.313,0.07966666666666666
11,0.44,17.164075699984096,3,1,0,2,1,0,0.536,0.296,0.08722222222222223
12,0.389,17.32577890000539,3,1,0,2,6,2,0.568,0.319,0.18733333333333332
13,0.4565,17.134492200013483,3,1,0,2,4,1,0.571,0.325,0.09755555555555556
14,0.4416,17.072258700005477,3,1,0,2,5,1,0.575,0.338,0.05644444444444444
15,0.4647,16.983818000007886,3,1,0,2,2,0,0.557,0.331,0.17366666666666666
16,0.4888,17.019750599982217,3,1,0,2,3,0,0.541,0.331,0.10077777777777777
17,0.4903,17.019454100023722,3,1,0,2,2,0,0.526,0.325,0.17644444444444443
18,0.4819,17.09814310001093,3,1,0,1,2,0,0.514,0.324,0.276
19,0.4903,16.957882200018503,3,1,0,2,2,1,0.519,0.317,0.2801111111111111
20,0.5047,17.024321599979885,3,1,0,2,2,0,0.508,0.312,0.272
21,0.5011,16.960849099996267,3,1,0,2,3,1,0.513,0.311,0.3313333333333333
22,0.5276,16.99477309998474,3,1,0,2,1,0,0.503,0.306,0.43822222222222224
23,0.4847,17.06274370002211,3,1,0,2,5,1,0.508,0.315,0.37344444444444447
24,0.49,16.988544099993305,3,1,0,2,4,2,0.526,0.317,0.41255555555555556
25,0.5204,17.00812610000139,3,1,0,2,3,0,0.516,0.318,0.5788888888888889
26,0.5357,17.025901299988618,3,1,0,2,2,1,0.52,0.313,0.44566666666666666
27,0.5146,17.308776499994565,3,1,0,2,7,2,0.536,0.327,0.4602222222222222
28,0.5094,17.01780860000872,3,1,0,2,6,1,0.539,0.337,0.6593333333333333
29,0.5241,17.062944100005552,3,1,0,2,3,1,0.541,0.336,0.5186666666666667
