round,acc,t_round_s,n_malicious,asr
0,0.1,18.62584159997641,9,1.0
1,0.1547,18.296173599985195,9,0.8412222222222222
2,0.1771,18.34279450000031,9,0.7395555555555555
3,0.2644,18.29533160000574,9,0.5582222222222222
4,0.2997,18.534926799999084,9,0.8654444444444445
5,0.3173,18.55421999999089,9,0.7717777777777778
6,0.3518,18.674701600015396,9,0.9531111111111111
7,0.3721,18.442068699980155,9,0.9575555555555556
8,0.3957,18.50106720000622,9,0.9783333333333334
9,0.401,18.639557999995304,9,0.9645555555555556
10,0.4278,18.52709409999079,9,0.9668888888888889
11,0.4331,19.108253099984722,9,0.9706666666666667
12,0.4438,18.420470500015654,9,0.9673333333333334
13,0.4538,19.95223339999211,9,0.9651111111111111
14,0.4615,18.99058069998864,9,0.9707777777777777
15,0.4683,18.693361200013896,9,0.9703333333333334
16,0.4784,18.497881499992218,9,0.969
17,0.4837,18.362988399981987,9,0.9668888888888889
18,0.4912,18.424797899991972,9,0.9706666666666667
19,0.4981,18.314008299988927,9,0.9676666666666667
20,0.4982,18.303349199995864,9,0.969
21,0.5115,18.282966400001897,9,0.9676666666666667
22,0.5101,18.2231543000089,9,0.9697777777777777
23,0.5212,18.479180199996335,9,0.9674444444444444
24,0.5246,18.10906420001993,9,0.9685555555555555
25,0.5288,18.49061619999702,9,0.9678888888888889
26,0.5304,18.055158899980597,9,0.9717777777777777
27,0.5377,18.457773600006476,9,0.9646666666666667
28,0.5404,18.245028200006345,9,0.9703333333333334
29,0.5431,18.492098299990175,9,0.968
