round,acc,t_round_s,n_malicious
0,0.1,16.09635029999481,3
1,0.1583,15.60405370000808,3
2,0.2296,15.42679829998815,3
3,0.2735,15.354755199994543,3
4,0.295,15.705142799997702,3
5,0.3231,15.540914199998952,3
6,0.3451,15.263722800009418,3
7,0.3722,15.405215800012229,3
8,0.3625,15.69511450000573,3
9,0.3987,15.555462599993916,3
10,0.3999,15.325049700011732,3
11,0.4179,15.317551700005424,3
12,0.4179,15.493106099995202,3
13,0.4327,15.562516599995433,3
14,0.433,15.579855300005875,3
15,0.4477,15.329623500001617,3
16,0.4468,15.440051199999289,3
17,0.4584,15.36619649999193,3
18,0.4576,15.30294490000233,3
19,0.4717,15.184283199996571,3
20,0.4718,15.52560779999476,3
21,0.4807,15.448455600009765,3
22,0.4839,15.140852700002142,3
23,0.4836,15.249764100008179,3
24,0.4957,15.273138100004871,3
25,0.4946,15.286483599993517,3
26,0.5001,15.414327999998932,3
27,0.5062,15.248633600000176,3
28,0.5114,15.41911170000094,3
29,0.5103,15.52023919999192,3
