round,acc,t_round_s,n_malicious
0,0.1301,26.5814715000015,9
1,0.2044,25.594832499991753,9
2,0.2232,26.067587300000014,9
3,0.2266,26.41081679999479,9
4,0.2387,30.01756180000666,9
5,0.2659,27.978876000008313,9
6,0.2821,27.28894020000007,9
7,0.3165,27.357688599993708,9
8,0.3327,26.85869310000271,9
9,0.3303,27.034645899999305,9
10,0.3662,27.121157799992943,9
11,0.3432,27.216153000001214,9
12,0.3888,27.271542300004512,9
13,0.3791,27.23169849999249,9
14,0.3863,26.979691400003503,9
15,0.4086,22.35910599998897,9
16,0.3981,18.037261400007992,9
17,0.4305,17.257288299995707,9
18,0.4222,17.321273499997915,9
19,0.4318,17.000868999995873,9
20,0.4381,16.82696050000959,9
21,0.446,16.513846499990905,9
22,0.4478,16.813985600005253,9
23,0.4568,16.338983499997994,9
24,0.4602,16.028985199998715,9
25,0.468,16.42138879999402,9
26,0.4683,16.44449650000024,9
27,0.4691,16.015055500000017,9
28,0.478,16.026246300010826,9
29,0.4842,16.5177471999923,9
