round,acc,t_round_s,n_malicious
0,0.1311,15.965560099997674,3
1,0.2117,15.32127169999876,3
2,0.2568,15.515211799996905,3
3,0.2874,15.651726700001745,3
4,0.2985,15.316655899994657,3
5,0.3214,15.476090600001044,3
6,0.3418,15.942708700007643,3
7,0.3743,15.553888599999482,3
8,0.3821,15.452655799992499,3
9,0.4094,15.292678499987232,3
10,0.4153,15.727877500001341,3
11,0.4293,15.544536300003529,3
12,0.4318,15.374729300005129,3
13,0.445,15.210634899995057,3
14,0.4519,15.665432499998133,3
15,0.4631,15.638705899997149,3
16,0.468,15.308134700011578,3
17,0.4752,15.333640999990166,3
18,0.4763,15.724730300004012,3
19,0.4865,15.599340500004473,3
20,0.4899,15.394707500003278,3
21,0.4929,15.385717500001192,3
22,0.5015,15.669777199989767,3
23,0.5032,15.604829699994298,3
24,0.5125,15.45608099999663,3
25,0.5115,15.292097999990801,3
26,0.5146,15.494382499993662,3
27,0.5206,15.613264500003424,3
28,0.5247,15.302844699996058,3
29,0.5297,15.3719654000015,3
