round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon
0,0.1137,29.088751300005242,6,0,0,5,1,0,0.0,0.125
1,0.1599,29.842898000002606,6,0,0,6,3,2,0.167,0.208
2,0.2133,30.238321099997847,6,0,0,5,2,2,0.222,0.194
3,0.1997,30.363563999999315,6,0,0,6,3,3,0.292,0.208
4,0.2892,30.07259630000044,6,0,0,5,3,3,0.367,0.208
5,0.2417,30.186505499994382,6,0,0,4,4,3,0.444,0.222
6,0.3406,30.422860499995295,6,0,0,4,4,3,0.5,0.232
7,0.3651,30.41813929998898,6,0,0,5,3,2,0.479,0.24
8,0.4024,29.615566899999976,6,0,0,5,4,2,0.481,0.255
9,0.3166,30.35944620000373,6,0,0,5,6,4,0.517,0.283
10,0.3646,29.63578869999037,6,0,0,5,6,5,0.561,0.303
11,0.4244,31.70356539999193,6,0,0,5,5,4,0.583,0.312
12,0.4236,30.698738000006415,6,0,0,5,5,4,0.603,0.321
13,0.436,29.868448900000658,6,0,0,5,6,4,0.619,0.336
14,0.4558,30.200255100004142,6,0,0,5,5,4,0.633,0.342
15,0.4474,30.07947989999957,6,0,0,4,5,4,0.656,0.344
16,0.4221,30.516321300005075,6,0,0,5,5,4,0.667,0.348
17,0.4345,474.7649992000079,6,0,0,6,5,5,0.676,0.352
18,0.4675,23.499425999994855,6,0,0,4,3,2,0.675,0.344
19,0.4665,24.3432305999886,6,0,0,6,6,4,0.675,0.356
20,0.4637,23.302908499987097,6,1,0,4,6,4,0.69,0.363
21,0.4883,22.687038000003668,6,1,0,2,3,2,0.703,0.354
22,0.4892,22.494973200009554,6,1,0,4,3,1,0.694,0.351
23,0.4877,23.31325300000026,6,1,0,3,4,2,0.698,0.351
24,0.4979,22.925575300003402,6,1,0,4,3,2,0.69,0.348
25,0.503,23.022091199993156,6,1,0,5,3,3,0.688,0.345
26,0.4977,22.935844399995403,6,1,0,4,5,3,0.692,0.349
27,0.524,23.359534299990628,6,1,0,5,3,3,0.69,0.345
28,0.5175,42.759730699996,6,1,0,5,4,2,0.683,0.348
29,0.51,41.09585649998917,6,1,0,4,4,3,0.687,0.347
