round,acc,t_round_s,n_malicious
0,0.121,16.63501859999087,9
1,0.1763,16.031785400002263,9
2,0.221,16.14619529999618,9
3,0.2169,16.234882499993546,9
4,0.237,15.976078799998504,9
5,0.262,15.953518299997086,9
6,0.2778,16.447309499999392,9
7,0.3097,17.56499509999412,9
8,0.324,16.110427000006894,9
9,0.3248,15.897845999992569,9
10,0.3562,16.191542100001243,9
11,0.3405,16.025087800007896,9
12,0.3728,15.828556499996921,9
13,0.3713,15.83955619999324,9
14,0.3777,16.34057020000182,9
15,0.4052,16.232145899994066,9
16,0.3885,15.972060400003102,9
17,0.4231,16.010821900010342,9
18,0.41,16.22204770000826,9
19,0.4259,16.330071999997017,9
20,0.4371,16.008426599990344,9
21,0.4388,15.97133909999684,9
22,0.4444,16.128949300007662,9
23,0.4595,16.126261999990675,9
24,0.4561,15.953857499989681,9
25,0.4635,16.066351100002066,9
26,0.468,16.22552930000529,9
27,0.4697,15.980097200008458,9
28,0.4781,15.791838500008453,9
29,0.4843,16.092643199997838,9
