round,acc,t_round_s,n_malicious
0,0.2142,25.80880110000726,0
1,0.2663,25.8395739000116,0
2,0.3057,25.489356500009308,0
3,0.3162,25.436152700014645,0
4,0.3473,26.35167370000272,0
5,0.3672,26.057628999988083,0
6,0.3864,26.14853619999485,0
7,0.3959,26.805704300000798,0
8,0.4125,28.091917400015518,0
9,0.4229,27.810888600011822,0
10,0.4257,28.035909800004447,0
11,0.4565,26.89678839998669,0
12,0.4538,25.99636129999999,0
13,0.4706,26.369622499973048,0
14,0.4717,26.10295839997707,0
15,0.4896,25.236426399991615,0
16,0.487,25.359720899985405,0
17,0.4983,25.35599149999325,0
18,0.5012,26.025034599995706,0
19,0.5101,25.49180190000334,0
20,0.5115,26.609162600012496,0
21,0.5213,25.544156400021166,0
22,0.5198,25.598730500001693,0
23,0.5307,26.010127799992915,0
24,0.5338,25.78906049998477,0
25,0.5411,24.912103000009665,0
26,0.5439,25.187084600009257,0
27,0.5496,25.085374399990542,0
28,0.5545,27.863322599994717,0
29,0.5574,26.64191090001259,0
