round,acc,t_round_s,n_malicious
0,0.1002,28.762680500003626,6
1,0.1439,27.936246900004335,6
2,0.1797,27.206347499988624,6
3,0.1882,27.338882099997136,6
4,0.2159,26.992851100003463,6
5,0.245,27.29262860000017,6
6,0.2494,29.76153260000865,6
7,0.2888,27.324857500003418,6
8,0.2779,27.333543699991424,6
9,0.3169,27.39478919999965,6
10,0.3167,27.533540100004757,6
11,0.3363,29.594670499995118,6
12,0.329,27.933829000001424,6
13,0.3632,28.933847599997534,6
14,0.3494,30.167821800001548,6
15,0.3755,28.704536599994753,6
16,0.363,29.45729809999466,6
17,0.3906,28.406952499994077,6
18,0.3735,28.854846400005044,6
19,0.4056,25.3269614999881,6
20,0.3736,19.780917899988708,6
21,0.4151,16.388994599998114,6
22,0.3909,16.92813300000853,6
23,0.4292,17.294827599995187,6
24,0.4061,16.6543168000062,6
25,0.434,16.763724799995543,6
26,0.4149,16.577952699997695,6
27,0.4441,16.572382400001516,6
28,0.4041,16.64089260000037,6
29,0.4391,16.738483099994482,6
