round,acc,t_round_s,n_malicious
0,0.1337,17.43297139997594,3
1,0.1649,17.49340000000666,3
2,0.1541,17.201264100003755,3
3,0.1292,17.064283999992767,3
4,0.148,17.376150099997176,3
5,0.1779,17.325817700009793,3
6,0.13,17.143719499988947,3
7,0.1975,17.27347750001354,3
8,0.1827,17.350665900012245,3
9,0.1572,17.23543920001248,3
10,0.1861,17.134398399997735,3
11,0.1537,17.38384770002449,3
12,0.1684,17.253774500015425,3
13,0.1485,17.146389900008217,3
14,0.1741,17.27471830000286,3
15,0.158,17.38216349997674,3
16,0.2044,17.088140099978773,3
17,0.2439,17.268364299990935,3
18,0.2043,17.417440699995495,3
19,0.2883,17.26158449999639,3
20,0.1952,17.230159800004913,3
21,0.2722,17.558280500001274,3
22,0.2447,17.285348000004888,3
23,0.2069,17.13645499999984,3
24,0.3267,17.362258600012865,3
25,0.255,17.414526800013846,3
26,0.2362,17.22589380000136,3
27,0.2314,17.17022219998762,3
28,0.2178,17.4522280000092,3
29,0.2945,17.28563739999663,3
