round,acc,t_round_s,n_malicious
0,0.1351,17.793017800024245,6
1,0.1685,17.10592309999629,6
2,0.1831,16.90981000001193,6
3,0.2236,16.950007200008258,6
4,0.2307,16.985871799988672,6
5,0.2451,16.83516369998688,6
6,0.2514,17.211089899996296,6
7,0.2701,17.011541600018973,6
8,0.2787,17.08529479999561,6
9,0.2824,17.468049500021152,6
10,0.2857,17.370197999989614,6
11,0.2933,16.818846099980874,6
12,0.3165,16.655496499995934,6
13,0.3137,16.896276699990267,6
14,0.3291,16.806161100015743,6
15,0.3378,16.602596399985487,6
16,0.3386,16.693996300018625,6
17,0.3445,16.789914100023452,6
18,0.3553,16.74044920000597,6
19,0.3577,16.55550129999756,6
20,0.3607,16.880929099977948,6
21,0.3699,16.59400650000316,6
22,0.3682,16.689077699993504,6
23,0.3838,16.734488299989607,6
24,0.3877,16.856943299993873,6
25,0.3934,16.50585789998877,6
26,0.39,16.86812659999123,6
27,0.3966,16.716203099989798,6
28,0.3981,16.56977570001618,6
29,0.4008,16.58191030001035,6
