round,acc,t_round_s,n_malicious
0,0.1138,17.6885481000063,3
1,0.1938,17.448028899991186,3
2,0.2054,17.180077099998016,3
3,0.2395,17.234005200007232,3
4,0.2677,17.29918400000315,3
5,0.3038,17.34630780000589,3
6,0.3164,17.18825210002251,3
7,0.333,17.204966499994043,3
8,0.3537,17.27639949999866,3
9,0.351,17.198212799994508,3
10,0.3675,17.168923600023845,3
11,0.3822,17.43834429999697,3
12,0.3853,17.28857569998945,3
13,0.3933,17.289169200026663,3
14,0.394,17.47999130000244,3
15,0.4144,17.349676100013312,3
16,0.4206,17.119924500002526,3
17,0.422,17.208620099991094,3
18,0.4297,17.3224990000017,3
19,0.4363,17.2353385000024,3
20,0.4411,18.130309600004693,3
21,0.442,17.9324864000082,3
22,0.4467,17.317524300015066,3
23,0.4486,17.32000499998685,3
24,0.4561,17.287149600015255,3
25,0.456,17.26374759999453,3
26,0.471,17.196926500007976,3
27,0.4686,17.279526300000725,3
28,0.4688,17.364629900024738,3
29,0.481,17.17929309999454,3
