round,kem,n_dropped,n_failed_clusters,max_abs_err,round_up_B,round_down_B,client_mask_s,server_unmask_s
0,hqc-128,0,0,2.2742897272109985e-05,2332052,34,0.0355,0.3412
0,mlkem-768,0,0,2.2742897272109985e-05,2332052,34,0.0333,0.3244
1,hqc-128,0,0,2.2784806787967682e-05,2332052,34,0.034,0.3284
1,mlkem-768,0,0,2.2784806787967682e-05,2332052,34,0.0347,0.3438
2,hqc-128,0,0,2.267514355480671e-05,2332052,34,0.0353,0.3154
2,mlkem-768,0,0,2.267514355480671e-05,2332052,34,0.0355,0.3507
3,hqc-128,0,0,2.2788066416978836e-05,2332052,34,0.0355,0.344
3,mlkem-768,0,0,2.2788066416978836e-05,2332052,34,0.0363,0.3437
4,hqc-128,0,0,2.273544669151306e-05,2332052,34,0.0343,0.3349
4,mlkem-768,0,0,2.273544669151306e-05,2332052,34,0.0352,0.3492
5,hqc-128,0,0,2.277456223964691e-05,2332052,34,0.0364,0.3478
5,mlkem-768,0,0,2.277456223964691e-05,2332052,34,0.0363,0.3511
6,hqc-128,0,0,2.273544669151306e-05,2332052,34,0.036,0.3464
6,mlkem-768,0,0,2.273544669151306e-05,2332052,34,0.0362,0.3331
7,hqc-128,0,0,2.2837077267467976e-05,2332052,34,0.0359,0.3589
7,mlkem-768,0,0,2.2837077267467976e-05,2332052,34,0.036,0.3782
8,hqc-128,0,0,2.2652558982372284e-05,2332052,34,0.0366,0.3731
8,mlkem-768,0,0,2.2652558982372284e-05,2332052,34,0.0378,0.3632
9,hqc-128,0,0,2.2720079869031906e-05,2332052,34,0.0354,0.348
9,mlkem-768,0,0,2.2720079869031906e-05,2332052,34,0.036,0.354
10,hqc-128,3,1,2.284371294081211e-05,2021114,29,0.0346,0.2978
10,mlkem-768,3,1,2.284371294081211e-05,2021114,29,0.0349,0.3157
11,hqc-128,0,0,2.279970794916153e-05,2332052,34,0.0362,0.3449
11,mlkem-768,0,0,2.279970794916153e-05,2332052,34,0.0366,0.3481
12,hqc-128,0,0,2.282741479575634e-05,2332052,34,0.0366,0.341
12,mlkem-768,0,0,2.282741479575634e-05,2332052,34,0.035,0.3429
13,hqc-128,0,0,2.26534903049469e-05,2332052,34,0.036,0.3344
13,mlkem-768,0,0,2.26534903049469e-05,2332052,34,0.0359,0.3611
14,hqc-128,0,0,2.2765249013900757e-05,2332052,34,0.0286,0.2799
14,mlkem-768,0,0,2.2765249013900757e-05,2332052,34,0.0298,0.2966
15,hqc-128,0,0,2.2738706320524216e-05,2332052,34,0.028,0.2794
15,mlkem-768,0,0,2.2738706320524216e-05,2332052,34,0.0284,0.2757
16,hqc-128,0,0,2.269633114337921e-05,2332052,34,0.0284,0.2653
16,mlkem-768,0,0,2.269633114337921e-05,2332052,34,0.0291,0.2597
17,hqc-128,0,0,2.28099524974823e-05,2332052,34,0.0287,0.2801
17,mlkem-768,0,0,2.28099524974823e-05,2332052,34,0.0288,0.2725
18,hqc-128,0,0,2.2727996110916138e-05,2332052,34,0.028,0.2661
18,mlkem-768,0,0,2.2727996110916138e-05,2332052,34,0.0292,0.2863
19,hqc-128,0,0,2.2738706320524216e-05,2332052,34,0.0289,0.2787
19,mlkem-768,0,0,2.2738706320524216e-05,2332052,34,0.0288,0.2868
20,hqc-128,3,0,2.2761523723602295e-05,2098853,31,0.028,0.2944
20,mlkem-768,3,0,2.2761523723602295e-05,2098853,31,0.0287,0.3015
21,hqc-128,0,0,2.269633114337921e-05,2332052,34,0.0287,0.2746
21,mlkem-768,0,0,2.269633114337921e-05,2332052,34,0.0287,0.28
22,hqc-128,0,0,2.2816413547843695e-05,2332052,34,0.0284,0.2847
22,mlkem-768,0,0,2.2816413547843695e-05,2332052,34,0.0299,0.2777
23,hqc-128,0,0,2.2792723029851913e-05,2332052,34,0.0285,0.2759
23,mlkem-768,0,0,2.2792723029851913e-05,2332052,34,0.0285,0.2792
24,hqc-128,0,0,2.2759195417165756e-05,2332052,34,0.0293,0.2889
24,mlkem-768,0,0,2.2759195417165756e-05,2332052,34,0.0296,0.2885
25,hqc-128,0,0,2.2709369659423828e-05,2332052,34,0.0322,0.3879
25,mlkem-768,0,0,2.2709369659423828e-05,2332052,34,0.0307,0.2993
26,hqc-128,0,0,2.2733118385076523e-05,2332052,34,0.0302,0.2976
26,mlkem-768,0,0,2.2733118385076523e-05,2332052,34,0.0311,0.314
27,hqc-128,0,0,2.2748485207557678e-05,2332052,34,0.0278,0.2838
27,mlkem-768,0,0,2.2748485207557678e-05,2332052,34,0.0307,0.3002
28,hqc-128,0,0,2.2824853658676147e-05,2332052,34,0.0284,0.276
28,mlkem-768,0,0,2.2824853658676147e-05,2332052,34,0.0302,0.2721
29,hqc-128,0,0,2.274615690112114e-05,2332052,34,0.0304,0.2821
29,mlkem-768,0,0,2.274615690112114e-05,2332052,34,0.0313,0.3046
30,hqc-128,0,0,2.273323480039835e-05,2332052,34,0.028,0.2766
30,mlkem-768,0,0,2.273323480039835e-05,2332052,34,0.0277,0.2701
31,hqc-128,0,0,2.2640451788902283e-05,2332052,34,0.0279,0.275
31,mlkem-768,0,0,2.2640451788902283e-05,2332052,34,0.0277,0.2654
32,hqc-128,0,0,2.2681429982185364e-05,2332052,34,0.0285,0.2833
32,mlkem-768,0,0,2.2681429982185364e-05,2332052,34,0.0287,0.2647
33,hqc-128,0,0,2.2835098206996918e-05,2332052,34,0.0192,0.1826
33,mlkem-768,0,0,2.2835098206996918e-05,2332052,34,0.0205,0.2124
34,hqc-128,0,0,2.2638589143753052e-05,2332052,34,0.0296,0.2996
34,mlkem-768,0,0,2.2638589143753052e-05,2332052,34,0.0353,0.3488
35,hqc-128,0,0,2.2770138457417488e-05,2332052,34,0.0207,0.2013
35,mlkem-768,0,0,2.2770138457417488e-05,2332052,34,0.0202,0.23
36,hqc-128,0,0,2.2755935788154602e-05,2332052,34,0.0196,0.1885
36,mlkem-768,0,0,2.2755935788154602e-05,2332052,34,0.0206,0.2029
37,hqc-128,0,0,2.274010330438614e-05,2332052,34,0.0193,0.1826
37,mlkem-768,0,0,2.274010330438614e-05,2332052,34,0.0192,0.1864
38,hqc-128,0,0,2.2777821868658066e-05,2332052,34,0.0196,0.1872
38,mlkem-768,0,0,2.2777821868658066e-05,2332052,34,0.019,0.181
39,hqc-128,0,0,2.276431769132614e-05,2332052,34,0.0201,0.1946
39,mlkem-768,0,0,2.276431769132614e-05,2332052,34,0.0202,0.197
