round,acc,t_round_s,n_malicious
0,0.1424,41.411431400003494,0
1,0.2255,38.41444480000064,0
2,0.2713,39.15671670000302,0
3,0.2962,39.17276279999351,0
4,0.3169,39.806702400004724,0
5,0.3496,39.92309820000082,0
6,0.3777,40.58206239998981,0
7,0.4035,40.36833859999024,0
8,0.4142,40.52223860000959,0
9,0.4258,40.19938700000057,0
10,0.4435,39.58244650000415,0
11,0.4516,39.850005100001,0
12,0.4618,39.71426190000784,0
13,0.4741,39.68174939999881,0
14,0.4781,33.39917059999425,0
15,0.4884,33.592886200000066,0
16,0.4916,33.50996260000102,0
17,0.5029,33.859674199993606,0
18,0.5085,34.13498119999713,0
19,0.5114,34.37227500000154,0
20,0.5175,34.32434879998618,0
21,0.5217,34.18270859999757,0
22,0.5293,34.03893779999635,0
23,0.5298,34.225479800006724,0
24,0.5392,34.237329800002044,0
25,0.5402,34.41957959999854,0
26,0.5472,34.57588930000202,0
27,0.5499,33.87486550000904,0
28,0.5567,34.00273059999745,0
29,0.5596,35.136264100001426,0
30,0.566,34.76295509999909,0
31,0.5646,33.58987079998769,0
32,0.5744,36.69649859999481,0
33,0.5747,69.9832572999876,0
34,0.578,58.28387999998813,0
35,0.5849,28.763039199999184,0
36,0.5842,27.063255699991714,0
37,0.5901,27.028291199996602,0
38,0.5945,26.826939299993683,0
39,0.5956,26.975526599999284,0
